City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
309,Bandar,ID,2.05,99.75,73.22,97,97,2.51,overcast clouds
310,Sangre Grande,TT,10.5835,-61.1177,87.76,83,66,10.74,broken clouds
311,Las Vegas,US,36.175,-115.1372,77.27,31,1,0.0,clear sky
312,Machico,PT,32.7,-16.7667,70.88,76,20,10.36,few clouds
313,Kaitangata,NZ,-46.2817,169.8464,51.64,85,100,1.41,overcast clouds
314,Bollnas,SE,61.3482,16.3946,33.73,76,29,3.27,scattered clouds
315,Eureka,US,40.8021,-124.1637,61.12,85,100,10.4,overcast clouds
316,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,86.83,65,90,2.26,overcast clouds
317,Ewa Beach,US,21.3156,-158.0072,82.35,56,1,11.5,clear sky
318,Ambon,ID,-3.6954,128.1814,80.47,79,86,3.18,overcast clouds
319,Nelson Bay,AU,-32.7167,152.15,65.95,98,62,1.99,broken clouds
320,Flin Flon,CA,54.7682,-101.865,39.04,81,75,10.36,mist
321,Canandaigua,US,42.8742,-77.288,49.89,85,100,4.0,overcast clouds
322,Cabo San Lucas,MX,22.8909,-109.9124,90.61,58,20,11.5,few clouds
323,Bartica,GY,6.4,-58.6167,79.12,97,100,3.56,light rain
324,Aloleng,PH,16.1307,119.7824,79.16,79,100,10.51,overcast clouds
325,Moron,AR,-34.6534,-58.6198,72.01,56,42,7.0,scattered clouds
326,Fort Nelson,CA,58.8053,-122.7002,29.79,100,40,2.3,scattered clouds
327,Hannibal,US,39.7084,-91.3585,63.52,42,90,5.75,overcast clouds
328,Baykit,RU,61.67,96.37,33.71,93,100,9.17,light rain
329,Vila Franca Do Campo,PT,37.7167,-25.4333,68.41,81,3,6.17,clear sky
330,Ust-Tsilma,RU,65.441,52.1498,23.54,95,15,5.35,few clouds
331,Cidreira,BR,-30.1811,-50.2056,66.2,90,100,9.78,light rain
332,Mundo Nuevo,MX,18.7,-95.5,80.82,76,24,8.08,few clouds
333,Grants,US,35.1473,-107.8514,64.63,19,1,8.05,clear sky
334,Alice Springs,AU,-23.7,133.8833,69.35,32,99,12.66,overcast clouds
335,Srednekolymsk,RU,67.45,153.6833,-14.44,99,35,4.16,scattered clouds
