City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
383,Sumbe,AO,75.51,light rain,-11.2061,13.8437,Hotel Ritz Sumbe
386,Mallasamudram,IN,74.03,overcast clouds,11.4833,78.0333,Suresh Complex & Appartments
388,Alexandria,EG,71.56,scattered clouds,31.2156,29.9553,Royal Crown Hotel
393,Cabedelo,BR,84.87,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
394,Pisco,PE,69.85,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
395,Tabou,CI,76.93,light rain,4.423,-7.3528,hotêl doufoulougou
396,San Ciro De Acosta,MX,81.41,overcast clouds,21.6333,-99.8167,Hotel Maria Isabel
400,Caravelas,BR,76.6,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
402,Russell,US,76.28,clear sky,32.3502,-85.1999,Macs
403,Cururupu,BR,84.0,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
404,Bastia,FR,62.29,few clouds,42.6667,9.3333,Hotel Santa Maria
406,Ponta Delgada,PT,68.72,few clouds,37.7333,-25.6667,Vila Nova Hotel
408,Kailua,US,82.38,few clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
410,Matadi,CD,81.61,overcast clouds,-5.8167,13.45,Hotel Vivi Palace
412,Caetite,BR,75.87,light rain,-14.0694,-42.475,Hotel Porto do Sol
413,Salinopolis,BR,83.19,scattered clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
416,Ocean City,US,65.98,broken clouds,39.2776,-74.5746,Biscayne Suites
420,Mount Isa,AU,69.57,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
421,Palmer,US,61.65,scattered clouds,42.1584,-72.3287,Wedgewood Motel
423,Kluang,MY,74.93,overcast clouds,2.0251,103.3328,Hotel Anika
424,Farafangana,MG,72.97,clear sky,-22.8167,47.8333,Miarina
425,Vangaindrano,MG,71.19,few clouds,-23.35,47.6,Hotel Fanilo
426,Tual,ID,83.61,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
427,Yarada,IN,80.92,mist,17.65,83.2667,Vishranti
428,Sorong,ID,79.54,overcast clouds,-0.8833,131.25,waigo splash hotel
429,Mandera,KE,83.62,broken clouds,3.9366,41.867,Kornesh Hotel and Lodging
432,Betamcherla,IN,75.49,overcast clouds,15.4667,78.1667,Amrutha hotels​
434,Miguel Auza,MX,75.81,clear sky,24.2933,-103.4503,Hotel Del Centro
438,Am Timan,TD,81.5,broken clouds,11.0297,20.2827,Palais du chef Canton Salamt
441,Paidha,UG,62.49,overcast clouds,2.4167,30.9855,OPIPAAF (OTHUMBA PITHUA PALWONGA )
452,Awbari,LY,84.6,overcast clouds,26.5921,12.7805,فندق أوباري
455,Hualmay,PE,68.22,few clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
456,Kieta,PG,79.5,few clouds,-6.2167,155.6333,Uruna Bay Retreat
457,Mungwi,ZM,75.9,scattered clouds,-10.1732,31.3694,
458,Yaan,NG,72.0,broken clouds,7.3833,8.5667,
460,Lorengau,PG,80.82,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
461,Pundaguitan,PH,81.88,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
462,Bengkulu,ID,76.06,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
463,Usta Muhammad,PK,74.95,clear sky,28.1794,68.0445,Hindu Colony
464,Grootfontein,,69.37,clear sky,-19.5667,18.1167,Meteor Travel Inn
468,Karpathos,GR,67.96,clear sky,35.507,27.2132,Alex
469,Basoko,CD,73.65,broken clouds,1.2391,23.616,Jackyna Hotel
478,Nizwa,OM,79.88,clear sky,22.9333,57.5333,Orient Apartments
479,Ormara,PK,80.44,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
482,Pandan,PH,79.56,light rain,14.0453,124.1694,Bonifacio Lodge
485,Dolores,AR,67.55,broken clouds,-36.3132,-57.6792,Apart Hotel - Arianos
487,Iralaya,HN,82.63,broken clouds,15.0,-83.2333,Iglesia morava renovada
488,Fare,PF,77.58,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
489,Chipinge,ZW,71.6,clear sky,-20.1883,32.6236,Chipinge Breeze Lodge
492,Half Moon Bay,US,68.41,mist,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
493,Kendari,ID,74.93,overcast clouds,-3.945,122.4989,Hotel Wixel
494,Constantine,DZ,62.01,scattered clouds,36.365,6.6147,Grand Hotel Cirta
495,Kalengwa,ZM,73.11,few clouds,-13.4659,25.0027,
500,Chinsali,ZM,78.42,few clouds,-10.5414,32.0816,Chisakatu Guest House
501,Le Port,RE,73.89,few clouds,-20.9373,55.2919,KORBEY D'OR OUEST
502,Santa Vitoria Do Palmar,BR,63.19,moderate rain,-33.5189,-53.3681,Hostel Comodoro
508,Rosarito,MX,70.09,broken clouds,32.3333,-117.0333,Hotel Festival Plaza Rosarito
